entry,KCL_control_1,KCL_control_2,KCL_control_3,KCL_KCL_1,KCL_KCL_2,KCL_KCL_3,NaCl_control_1,NaCl_control_2,NaCl_control_3,NaCl_KCL_1,NaCl_KCL_2,NaCl_KCL_3,Sorb_control_1,Sorb_control_2,Sorb_control_3,Sorb_KCL_1,Sorb_KCL_2,Sorb_KCL_3,FC_kcl,FC_nacl,FC_sorb,log2_FC_kcl,log2_FC_nacl,log2_FC_sorb,pval_kcl,pval_nacl,pval_sorb,adj_pval_kcl,adj_pval_nacl,adj_pval_sorb,neg_log10_adj_pval_kcl,neg_log10_adj_pval_nacl,neg_log10_adj_pval_sorb,uniprot
G4N6G1_MAGO7,12188,10889.3333333333,12530,12805,10606,13588.6666666667,8719,8929.6666666667,11816.3333333333,10239.3333333333,12902,10416,7273.3333333333,8048,12274.6666666667,10341,11944.3333333333,12351.3333333333,1.0506235641614703,1.166448915599682,1.4841368455931039,0.07124584779834518,0.22212312616068638,0.5696241225222979,0.6736158849986373,0.359167371892045,0.2328465707273784,0.842486349243448,0.6016475037139984,0.41668515224828945,0.07443712724745252,0.2206578808831985,0.38019197449237724,G4N6G1
G4N555_MAGO7,41265,35853.6666666667,38052.3333333333,37538.3333333333,38748.6666666667,40132.3333333333,35386,31472.6666666667,34298.3333333333,37359.6666666667,30088.6666666667,36013.3333333333,35387.6666666667,30412,27367.6666666667,42368.3333333333,34759.3333333333,40918,1.018299359653812,1.0500024296613053,1.3454557411548074,0.02616174726728495,0.07039266623069383,0.4280949342212354,0.8228254970192745,0.7756423076040956,0.06596375781127356,0.9280189352652846,0.902960149548465,0.18605967877878274,0.03244316236160121,0.04433141603544174,0.7303477331625544,G4N555
G4N6W4_MAGO7,20576,18312,16807,13926,13118,17797,10377.5,7725,11294.5,10021.5,13092.5,8858,15073,15962.5,13864.5,8077,10248,9606.5,0.7604849279161205,0.9656950132498193,0.637331652623897,-0.39500843949004816,-0.050360467260868055,-0.6498837819334038,0.11661589757880689,0.6314933394802293,0.003084498281114193,0.37743424915291257,0.8087466745389297,0.032616470221822506,0.4231586936166599,0.09218749208195957,1.4865630404180923,G4N6W4
G5EHT4_MAGO7,21186.6666666667,20090.6666666667,20894,20097,19281,23422.3333333333,21059.6666666667,18822.3333333333,19361,22050.6666666667,19339.3333333333,21552.6666666667,18635.6666666667,20348.3333333333,19673,19674.3333333333,18405.6666666667,16165,0.9618550780128267,1.1132000757536646,0.9355800674359122,-0.05610855430394781,0.1547129119580766,-0.09606696953486901,0.8804386585199299,0.31401747318877643,0.266715346809918,0.9544251004123608,0.5598957837289404,0.4531101063874037,0.020258147683022257,0.2518928029285738,0.34379625099818745,G5EHT4
G4NLM7_MAGO7,9426.6666666667,10686.3333333333,10161,10402,8924.6666666667,8547.3333333333,8713,8555,7623.3333333333,9072.3333333333,9654.3333333333,8535.3333333333,12007.6666666667,14646.5,11730.6666666667,10387.3333333333,12777,11903.3333333333,0.8783256241183643,1.0604714591856574,0.9913111067928767,-0.18717220158543835,0.08470579366865905,-0.012590200149089356,0.30066002945222237,0.16730113462400023,0.3952879793710369,0.6032105008837283,0.39396086645729395,0.5786052218635358,0.21953110673350293,0.40454691605700865,0.2376176511991224,G4NLM7
G4NG10_MAGO7,18086,7788,19544,9649,12461,11040,17773,17320.5,19493,11087,15931.5,10960,26170,34749,33031,13721,16217,23357,0.61041689704744,0.6238113993135656,0.49096303472495534,-0.712133196690757,-0.6808181786246597,-1.02631368873145,0.3410569878115309,0.03497336265017447,0.02545864956394452,0.6311809419536109,0.16862832153489526,0.10669816102624861,0.19984612280455727,0.773069482775521,0.9718430657023819,G4NG10
G4MNK7_MAGO7,9750.3333333333,6680.6666666667,6690,5914.5,5947.3333333333,10037,8933.6666666667,9016,9033.6666666667,9252,8515.5,8591.3333333333,6801.3333333333,6829.3333333333,6544.3333333333,8541.3333333333,6423.6666666667,9486,0.8889885401096114,0.9528985507246339,1.2558321897667135,-0.16976327339541725,-0.0696054674858724,0.328643697377742,0.8231993098378286,0.42739738141657413,0.19230460057807072,0.9280189352652846,0.6607252412887074,0.36750218774354093,0.03244316236160121,0.17997910178407076,0.43474007121347447,G4MNK7
G4MNP5_MAGO7,17828,13185,11020,7651,10836,15860,5549,4234,5947,4841,4619,3690,9674,8405,5528,5927,4684,5430,0.8218430034129692,0.8324022346368715,0.646044021415824,-0.28306527254990826,-0.26464725680209494,-0.6302956214318057,0.45785441636455976,0.24161233543957203,0.1198238860744097,0.7192484778245044,0.4793080437632629,0.2729195890906653,0.1431210485521553,0.3193852826028589,0.5639652912679594,G4MNP5
G4N577_MAGO7,20038.3333333333,23323.3333333333,21809.6666666667,20462.6666666667,19730,24939,21899.6666666667,19057.3333333333,20724.3333333333,20925.6666666667,16830.6666666667,22568.3333333333,22613,21681.6666666667,19810,24379.3333333333,25784.6666666667,26749.6666666667,0.9382383958183681,1.0097148279799946,1.1892382196940576,-0.09197355299261398,0.013947892629162933,0.2500377343832861,0.9947379896237177,0.8230976103281908,0.016449198932811857,0.9972740109759742,0.9287831352469909,0.08327699858577399,0.0011854985540102466,0.03208567907446407,1.0794749357684843,G4N577
G4NKB2_MAGO7,14662,15078,14201.3333333333,9570,9189,10211.5,4415,3492.6666666667,3991.5,3932,3841,5358,7695.3333333333,7195,8108,3117,3039,3376,0.6527076797162734,0.985093323312038,0.4050506800658425,-0.6154910808291689,-0.021667689402795703,-1.303825665148541,2.178071596712744e-4,0.5032566385176027,9.224939203014228e-5,0.04370663670736906,0.7211324041087576,0.007140397636283312,1.359452611850068,0.14198498896350262,2.1462776024485986,G4NKB2
